Current	Voltage
A (50mV/1000A)	uV
-0.027	-2.816
-0.027	-2.822
-0.027	-2.835
-0.027	-2.860
-0.027	-2.821
-0.027	-2.816
-0.027	-2.813
-0.027	-2.825
-0.028	-2.803
-0.027	-2.839
-0.027	-2.853
-0.027	-2.854
-0.027	-2.818
-0.027	-2.840
-0.027	-2.832
0.154	7.162
1.127	0.659
1.576	0.177
2.015	0.326
2.441	0.708
3.034	0.496
3.444	0.432
3.841	0.556
4.235	0.438
4.622	0.488
5.164	0.427
5.538	0.351
5.905	0.450
6.272	0.315
6.636	0.303
7.148	0.354
7.504	0.335
7.859	0.219
8.210	0.273
8.562	0.176
9.057	0.350
9.403	0.235
9.746	0.296
10.090	0.138
10.433	0.185
10.919	0.176
11.258	0.184
11.598	0.227
11.935	0.107
12.272	0.148
12.754	0.202
13.089	0.425
13.427	0.433
13.761	0.398
14.095	0.313
14.574	0.312
14.907	0.372
15.242	0.245
15.576	0.347
15.907	0.379
16.385	0.187
16.717	0.453
17.052	0.330
17.383	0.492
17.718	0.439
18.192	0.315
18.524	0.350
18.854	0.389
19.187	0.713
19.517	0.445
19.991	0.471
20.325	0.677
20.657	0.514
20.989	0.407
21.320	0.536
21.793	0.605
22.127	0.528
22.457	0.888
22.787	0.623
23.119	0.743
23.593	0.632
23.923	0.741
24.256	0.640
24.588	0.696
24.919	0.817
25.391	0.864
25.723	0.834
26.053	0.726
26.384	0.771
26.715	0.657
27.188	0.836
27.517	1.320
27.847	1.033
28.180	1.168
28.510	0.991
28.984	1.037
29.314	0.903
29.644	0.896
29.930	0.898
30.260	-0.026
30.780	-0.194
31.111	-0.934
31.441	-1.124
31.771	-1.292
32.101	-1.195
32.575	-1.327
32.904	-1.336
33.234	-1.284
33.565	-1.372
33.895	-1.351
34.368	-1.368
34.697	-1.370
35.028	-1.411
35.357	-1.235
35.689	-1.304
36.159	-1.276
36.490	-1.358
36.819	-1.179
37.149	-1.333
37.480	-1.315
37.951	-1.345
38.281	-1.408
38.612	-1.334
38.942	-1.230
39.271	-1.289
39.741	-1.306
40.072	-1.285
40.402	-1.251
40.728	-1.180
41.015	-1.297
41.483	-1.267
41.814	-1.284
42.144	-1.311
42.473	-1.282
42.801	-1.236
43.272	-1.334
43.602	-1.327
43.930	-1.318
44.257	-1.210
44.586	-1.298
45.103	-1.193
45.430	-1.271
45.761	-1.306
46.089	-1.260
46.419	-1.323
46.888	-1.233
47.215	-1.268
47.542	-1.288
47.866	-1.092
48.150	-1.244
48.618	-1.228
48.945	-1.216
49.272	-1.207
49.601	-1.244
49.927	-1.334
50.431	-0.991
50.770	-1.198
51.094	-1.247
51.418	-0.726
51.744	-1.401
52.213	-1.260
52.540	-1.318
52.865	-1.203
53.191	-1.046
53.519	-1.291
53.984	-1.248
54.311	-1.368
54.639	-1.650
54.963	-2.081
55.289	-2.119
55.754	-2.401
56.078	-2.229
56.403	-2.187
56.729	-2.249
57.054	-2.323
57.517	-2.330
57.842	-2.223
58.168	-2.222
58.494	-2.130
58.817	-2.202
59.281	-2.058
59.604	-2.092
59.926	-2.240
60.248	-2.133
60.529	-2.063
61.038	-2.119
61.361	-2.145
61.685	-2.050
62.008	-2.087
62.332	-2.096
62.794	-1.954
63.119	-2.033
63.439	-2.107
63.761	-1.792
64.086	-2.123
64.548	-1.966
64.869	-1.956
65.192	-1.890
65.515	-2.101
65.838	-1.656
66.299	-2.213
66.620	-1.650
66.894	-2.092
67.216	-1.905
67.538	-2.069
68.046	-1.795
68.372	-2.170
68.690	-1.989
69.012	-1.903
69.335	-1.533
69.805	-2.306
70.119	-1.925
70.438	-2.092
70.762	-2.104
71.082	-1.455
71.545	-2.041
71.865	-1.941
72.188	-2.125
72.507	-1.938
72.825	-1.646
73.289	-1.953
73.610	-1.787
73.936	-1.997
74.255	-1.674
74.575	-2.060
75.035	-1.396
75.352	-1.625
75.676	-1.861
75.994	-1.864
76.314	-1.776
76.773	-1.078
77.097	-1.771
77.414	-1.604
77.734	-0.979
78.008	-1.567
78.517	-1.535
78.837	-0.803
79.163	-1.332
79.479	-0.866
79.799	-1.138
80.257	-0.955
80.582	-0.919
80.855	-0.719
81.173	-0.487
81.494	-0.070
82.001	0.079
82.317	0.483
82.638	1.488
82.958	1.477
83.280	2.051
83.738	3.619
84.056	4.585
84.383	5.532
84.700	7.014
84.976	8.890
85.433	11.327
85.749	15.969
86.068	16.310
86.386	19.300
86.708	22.890
87.169	28.749
87.487	33.042
87.807	37.959
