current,voltage,Electric_field_strength
-0.026,-2.772,-2.772
-0.026,-2.778,-2.778
-0.026,-2.814,-2.814
-0.026,-2.782,-2.782
-0.026,-2.783,-2.783
-0.026,-2.798,-2.798
-0.026,-2.819,-2.819
-0.027,-2.804,-2.804
-0.026,-2.794,-2.794
-0.026,-2.789,-2.789
-0.026,-2.809,-2.809
-0.026,-2.814,-2.814
-0.026,-2.848,-2.848
-0.026,-2.83,-2.83
-0.024,-2.809,-2.809
0.008,1.389,1.389
1.231,-1.374,-1.374
1.71,-1.29,-1.29
2.177,-1.16,-1.16
2.63,-1.002,-1.002
3.075,-1.011,-1.011
3.652,-1.11,-1.11
4.043,-1.215,-1.215
4.463,-1.139,-1.139
4.899,-0.954,-0.954
5.301,-1.023,-1.023
5.831,-0.948,-0.948
6.2,-0.889,-0.889
6.562,-0.808,-0.808
6.949,-0.942,-0.942
7.332,-0.708,-0.708
7.839,-0.738,-0.738
8.216,-1.083,-1.083
8.613,-0.916,-0.916
9.009,-0.706,-0.706
9.383,-0.667,-0.667
9.874,-1.008,-1.008
10.215,-0.575,-0.575
10.556,-0.655,-0.655
10.896,-0.562,-0.562
11.234,-0.493,-0.493
11.719,-0.731,-0.731
12.081,-0.832,-0.832
12.442,-0.555,-0.555
12.803,-0.66,-0.66
13.163,-0.975,-0.975
13.644,-0.873,-0.873
13.999,-0.43,-0.43
14.357,-0.966,-0.966
14.693,-0.662,-0.662
15.025,-0.988,-0.988
15.503,-1.016,-1.016
15.835,-0.48,-0.48
16.168,-0.42,-0.42
16.503,-0.807,-0.807
16.834,-0.332,-0.332
17.308,-0.257,-0.257
17.64,-0.485,-0.485
17.996,-0.659,-0.659
18.353,-0.771,-0.771
18.685,-0.103,-0.103
19.159,-0.428,-0.428
19.489,-1.805,-1.805
19.822,-0.429,-0.429
20.155,-0.624,-0.624
20.486,-0.549,-0.549
20.96,-0.495,-0.495
21.314,-0.842,-0.842
21.669,-0.574,-0.574
22.002,-0.239,-0.239
22.332,-0.488,-0.488
22.806,-0.319,-0.319
23.135,-0.171,-0.171
23.469,-0.12,-0.12
23.801,-0.425,-0.425
24.132,-0.011,-0.011
24.605,-0.731,-0.731
24.936,-0.145,-0.145
25.291,0.135,0.135
25.646,-0.104,-0.104
25.977,-0.172,-0.172
26.449,0.334,0.334
26.78,-0.022,-0.022
27.111,0.267,0.267
27.44,0.129,0.129
27.772,0.008,0.008
28.243,-0.934,-0.934
28.576,-1.26,-1.26
28.906,-1.38,-1.38
29.237,-1.535,-1.535
29.569,-1.73,-1.73
30.04,-1.678,-1.678
30.369,-1.677,-1.677
30.701,-1.685,-1.685
31.054,-1.805,-1.805
31.411,-1.845,-1.845
31.88,-1.803,-1.803
32.212,-1.749,-1.749
32.542,-1.816,-1.816
32.873,-2.016,-2.016
33.205,-1.761,-1.761
33.675,-1.724,-1.724
34.004,-1.792,-1.792
34.334,-1.847,-1.847
34.667,-1.763,-1.763
34.994,-1.898,-1.898
35.465,-1.851,-1.851
35.797,-1.853,-1.853
36.126,-1.595,-1.595
36.456,-1.461,-1.461
36.787,-1.808,-1.808
37.258,-1.762,-1.762
37.587,-1.62,-1.62
37.916,-1.865,-1.865
