current,voltage,Electric_field_strength
-0.028,-3.863,-3.863
-0.028,-3.885,-3.885
-0.028,-3.915,-3.915
-0.028,-3.901,-3.901
-0.028,-3.906,-3.906
-0.028,-3.899,-3.899
-0.028,-3.826,-3.826
-0.028,-3.88,-3.88
-0.028,-3.854,-3.854
-0.028,-3.889,-3.889
-0.028,-3.889,-3.889
-0.028,-3.886,-3.886
-0.028,-3.879,-3.879
-0.028,-3.89,-3.89
-0.028,-3.868,-3.868
-0.028,-3.839,-3.839
-0.028,-3.87,-3.87
-0.027,-3.878,-3.878
-0.028,-3.874,-3.874
-0.028,-3.858,-3.858
-0.028,-3.894,-3.894
-0.028,-3.846,-3.846
-0.028,-3.845,-3.845
-0.028,-3.868,-3.868
-0.028,-3.835,-3.835
-0.028,-3.823,-3.823
-0.028,-3.836,-3.836
-0.028,-3.841,-3.841
-0.028,-2.344,-2.344
0.485,-2.687,-2.687
0.679,-2.684,-2.684
0.864,-2.645,-2.645
1.041,-2.649,-2.649
1.214,-2.759,-2.759
1.443,-2.722,-2.722
1.598,-2.793,-2.793
1.747,-2.815,-2.815
1.893,-2.772,-2.772
2.031,-2.893,-2.893
2.225,-2.82,-2.82
2.359,-2.873,-2.873
2.489,-2.9,-2.9
2.615,-2.911,-2.911
2.738,-2.894,-2.894
2.913,-2.907,-2.907
3.032,-3.042,-3.042
3.148,-2.88,-2.88
3.264,-2.881,-2.881
3.381,-2.84,-2.84
3.544,-3.05,-3.05
3.656,-2.927,-2.927
3.768,-2.986,-2.986
3.876,-2.521,-2.521
3.985,-2.756,-2.756
4.139,-2.32,-2.32
4.25,-2.784,-2.784
4.36,-3.097,-3.097
4.465,-2.703,-2.703
4.572,-2.648,-2.648
4.72,-2.56,-2.56
4.828,-2.805,-2.805
4.933,-2.75,-2.75
5.039,-2.51,-2.51
5.142,-2.969,-2.969
5.292,-2.653,-2.653
5.397,-2.722,-2.722
5.5,-2.531,-2.531
5.603,-3.027,-3.027
5.705,-2.859,-2.859
5.854,-2.288,-2.288
5.958,-2.749,-2.749
6.065,-2.832,-2.832
6.167,-2.993,-2.993
6.27,-2.878,-2.878
6.417,-3.019,-3.019
6.521,-2.548,-2.548
6.624,-2.512,-2.512
6.727,-2.305,-2.305
6.83,-3.066,-3.066
6.974,-2.718,-2.718
7.079,-2.756,-2.756
7.181,-2.824,-2.824
7.284,-2.67,-2.67
7.385,-3.078,-3.078
7.534,-2.908,-2.908
7.635,-2.935,-2.935
7.739,-2.683,-2.683
7.842,-2.823,-2.823
7.944,-2.906,-2.906
8.091,-2.292,-2.292
8.194,-2.453,-2.453
8.302,-2.922,-2.922
8.412,-2.439,-2.439
8.515,-2.252,-2.252
8.662,-2.817,-2.817
8.765,-2.841,-2.841
8.866,-2.274,-2.274
8.967,-2.894,-2.894
9.071,-2.836,-2.836
9.218,-2.882,-2.882
9.322,-2.796,-2.796
9.422,-2.251,-2.251
9.524,-2.521,-2.521
9.629,-2.69,-2.69
9.772,-2.467,-2.467
9.874,-2.969,-2.969
9.978,-2.957,-2.957
10.082,-2.853,-2.853
10.183,-2.513,-2.513
10.329,-2.333,-2.333
10.433,-2.619,-2.619
10.532,-2.083,-2.083
10.637,-2.811,-2.811
10.74,-2.159,-2.159
10.885,-2.769,-2.769
10.987,-2.502,-2.502
11.089,-2.259,-2.259
11.192,-2.221,-2.221
11.294,-2.816,-2.816
11.44,-2.525,-2.525
11.544,-2.187,-2.187
11.645,-2.862,-2.862
11.748,-2.291,-2.291
11.849,-2.618,-2.618
12.003,-2.134,-2.134
12.113,-2.419,-2.419
12.215,-2.36,-2.36
12.319,-2.178,-2.178
12.422,-2.722,-2.722
12.568,-2.223,-2.223
12.67,-2.071,-2.071
12.77,-2.09,-2.09
12.875,-2.638,-2.638
12.976,-1.946,-1.946
13.137,-2.161,-2.161
13.237,-2.465,-2.465
13.341,-2.708,-2.708
13.444,-2.407,-2.407
13.546,-1.821,-1.821
13.692,-1.989,-1.989
13.794,-1.669,-1.669
13.898,-2.487,-2.487
13.999,-2.072,-2.072
14.102,-2.396,-2.396
14.248,-1.992,-1.992
14.358,-2.351,-2.351
14.467,-2.448,-2.448
14.575,-2.341,-2.341
14.686,-1.532,-1.532
14.833,-1.446,-1.446
14.935,-2.319,-2.319
15.036,-2.022,-2.022
15.139,-2.302,-2.302
15.241,-1.666,-1.666
15.395,-1.611,-1.611
15.504,-1.776,-1.776
15.607,-1.652,-1.652
15.71,-2.155,-2.155
15.813,-1.269,-1.269
15.958,-2.028,-2.028
16.061,-1.002,-1.002
16.162,-2.038,-2.038
16.264,-1.552,-1.552
16.366,-1.204,-1.204
16.52,-1.013,-1.013
16.629,-1.774,-1.774
16.738,-1.788,-1.788
16.849,-1.01,-1.01
16.951,-1.443,-1.443
17.098,-1.011,-1.011
17.201,-1.068,-1.068
17.302,-0.921,-0.921
17.41,-1.497,-1.497
17.52,-1.593,-1.593
17.667,-0.969,-0.969
17.769,-1.446,-1.446
17.872,-0.51,-0.51
17.975,-1.432,-1.432
18.079,-1.351,-1.351
18.222,-0.528,-0.528
18.324,-0.596,-0.596
18.428,-1.106,-1.106
18.53,-1.067,-1.067
18.632,-1.015,-1.015
18.777,-0.138,-0.138
18.879,-0.992,-0.992
18.988,-0.521,-0.521
19.105,-0.161,-0.161
19.217,-0.132,-0.132
19.361,-0.718,-0.718
19.464,-0.491,-0.491
19.566,0.05,0.05
19.676,-0.292,-0.292
19.784,-0.107,-0.107
19.931,0.195,0.195
20.033,0.338,0.338
20.135,0.611,0.611
20.229,1.115,1.115
20.339,0.347,0.347
20.483,1.091,1.091
20.589,0.671,0.671
20.69,0.807,0.807
20.792,1.044,1.044
20.893,1.052,1.052
21.04,1.292,1.292
21.142,1.531,1.531
21.251,1.579,1.579
21.361,2.029,2.029
21.463,2.389,2.389
21.609,2.737,2.737
21.712,3.088,3.088
21.814,3.573,3.573
21.923,4.144,4.144
22.032,4.819,4.819
22.18,5.408,5.408
22.281,6.035,6.035
22.383,6.644,6.644
22.486,7.876,7.876
22.588,8.539,8.539
22.732,9.508,9.508
22.834,10.451,10.451
22.93,11.437,11.437
23.037,13.099,13.099
23.141,14.213,14.213
23.287,15.516,15.516
23.39,16.793,16.793
23.491,18.13,18.13
23.595,20.427,20.427
23.697,21.845,21.845
