Magnetic_Field,Ic,n_value
10,15.623,4.81
11,84.217,5.15
12,71.487,5.32
13,59.845,7.83
14,51.192,23.51
15,46.66,33.24
16,37.481,30.82
17,28.436,26.25
18,20.792,
