Magnetic_Field,Ic,n_value
10,176.537,81.24
11,150.427,156.86
12,123.596,88.20
13,102.839,139.05
14,28.51,100.39
15,67.732,66.05
16,53.061,76.91
17,41.899,58.13
18,31.47,
