current,voltage,Electric_field_strength
-0.027,-3.102,-3.102
-0.027,-3.112,-3.112
-0.027,-3.118,-3.118
-0.027,-3.16,-3.16
-0.027,-3.165,-3.165
-0.027,-3.18,-3.18
-0.027,-3.118,-3.118
-0.028,-3.108,-3.108
-0.027,-3.126,-3.126
-0.027,-3.109,-3.109
-0.028,-3.105,-3.105
-0.028,-3.116,-3.116
-0.027,-3.12,-3.12
-0.027,-3.11,-3.11
-0.027,-3.134,-3.134
-0.027,-3.1,-3.1
-0.027,-3.114,-3.114
-0.027,-3.12,-3.12
-0.027,-3.1,-3.1
-0.027,-3.125,-3.125
-0.027,-3.14,-3.14
-0.027,-3.081,-3.081
-0.028,-3.073,-3.073
-0.027,-3.105,-3.105
-0.027,-3.074,-3.074
-0.028,-3.118,-3.118
-0.028,-3.089,-3.089
-0.027,-3.124,-3.124
-0.028,-3.105,-3.105
0.317,1.738,1.738
0.601,-0.923,-0.923
0.788,-1.195,-1.195
0.971,-1.34,-1.34
1.144,-1.419,-1.419
1.378,-1.428,-1.428
1.533,-1.594,-1.594
1.685,-1.526,-1.526
1.832,-1.596,-1.596
1.974,-1.63,-1.63
2.17,-1.717,-1.717
2.303,-1.696,-1.696
2.434,-1.734,-1.734
2.563,-1.756,-1.756
2.687,-1.863,-1.863
2.86,-1.86,-1.86
2.98,-1.862,-1.862
3.099,-1.847,-1.847
3.215,-1.842,-1.842
3.333,-1.927,-1.927
3.495,-1.923,-1.923
3.606,-1.926,-1.926
3.718,-1.85,-1.85
3.829,-2.052,-2.052
3.94,-1.926,-1.926
4.093,-1.793,-1.793
4.201,-1.994,-1.994
4.308,-1.954,-1.954
4.414,-2.038,-2.038
4.522,-1.95,-1.95
4.675,-1.998,-1.998
4.777,-1.852,-1.852
4.886,-1.952,-1.952
4.992,-2.02,-2.02
5.097,-2.054,-2.054
5.245,-2.0,-2.0
5.349,-1.933,-1.933
5.452,-1.952,-1.952
5.556,-1.934,-1.934
5.661,-1.775,-1.775
5.807,-1.684,-1.684
5.912,-1.944,-1.944
6.015,-1.9,-1.9
6.119,-2.052,-2.052
6.221,-1.896,-1.896
6.368,-1.898,-1.898
6.47,-1.991,-1.991
6.572,-1.944,-1.944
6.676,-1.915,-1.915
6.778,-2.019,-2.019
6.926,-2.012,-2.012
7.028,-1.966,-1.966
7.133,-1.959,-1.959
7.235,-1.848,-1.848
7.337,-1.957,-1.957
7.483,-1.884,-1.884
7.585,-1.948,-1.948
7.687,-2.061,-2.061
7.789,-1.985,-1.985
7.892,-1.957,-1.957
8.039,-1.935,-1.935
8.14,-1.888,-1.888
8.244,-1.953,-1.953
8.346,-1.946,-1.946
8.448,-1.924,-1.924
8.594,-1.966,-1.966
8.697,-1.9,-1.9
8.8,-2.021,-2.021
8.902,-2.009,-2.009
9.005,-1.98,-1.98
9.151,-1.983,-1.983
9.253,-1.953,-1.953
9.356,-1.871,-1.871
9.457,-1.87,-1.87
9.558,-1.879,-1.879
9.706,-1.871,-1.871
9.806,-1.902,-1.902
9.91,-1.762,-1.762
10.013,-1.741,-1.741
10.112,-1.806,-1.806
10.261,-1.875,-1.875
10.364,-1.962,-1.962
10.466,-1.874,-1.874
10.566,-1.964,-1.964
10.667,-1.814,-1.814
10.816,-1.915,-1.915
10.916,-1.927,-1.927
11.019,-1.928,-1.928
11.121,-1.947,-1.947
11.224,-1.986,-1.986
11.369,-1.899,-1.899
11.472,-1.898,-1.898
11.573,-1.986,-1.986
11.677,-2.001,-2.001
11.778,-1.863,-1.863
11.923,-2.011,-2.011
12.026,-1.774,-1.774
12.13,-1.813,-1.813
12.229,-1.98,-1.98
12.332,-1.984,-1.984
12.478,-1.89,-1.89
12.579,-1.89,-1.89
12.683,-1.844,-1.844
12.786,-1.895,-1.895
12.888,-1.913,-1.913
13.033,-1.804,-1.804
13.137,-1.905,-1.905
13.238,-1.884,-1.884
13.34,-1.862,-1.862
13.443,-1.899,-1.899
