current,voltage,Electric_field_strength
-0.028,-3.26,-3.26
-0.027,-3.245,-3.245
-0.028,-3.268,-3.268
-0.028,-3.243,-3.243
-0.028,-3.279,-3.279
-0.028,-3.289,-3.289
-0.028,-3.302,-3.302
-0.028,-3.312,-3.312
-0.027,-3.28,-3.28
-0.028,-3.273,-3.273
-0.027,-3.27,-3.27
-0.027,-3.259,-3.259
-0.028,-3.249,-3.249
-0.028,-3.244,-3.244
-0.027,-3.281,-3.281
-0.028,-3.292,-3.292
-0.028,-3.314,-3.314
-0.028,-3.277,-3.277
-0.028,-3.293,-3.293
-0.028,-3.281,-3.281
-0.027,-3.255,-3.255
-0.028,-3.284,-3.284
-0.028,-3.194,-3.194
-0.028,-3.294,-3.294
-0.027,0.241,0.241
0.081,3.137,3.137
0.509,-0.529,-0.529
0.697,-0.888,-0.888
0.882,-0.933,-0.933
1.132,-0.987,-0.987
1.297,-1.368,-1.368
1.456,-1.292,-1.292
1.608,-1.293,-1.293
1.757,-1.427,-1.427
1.963,-1.403,-1.403
2.101,-1.421,-1.421
2.235,-1.433,-1.433
2.368,-1.605,-1.605
2.496,-1.58,-1.58
2.673,-1.705,-1.705
2.794,-1.576,-1.576
2.917,-1.578,-1.578
3.036,-1.637,-1.637
3.156,-1.693,-1.693
3.319,-1.712,-1.712
3.433,-1.627,-1.627
3.547,-1.733,-1.733
3.658,-1.737,-1.737
3.769,-1.753,-1.753
3.925,-1.697,-1.697
4.034,-1.644,-1.644
4.146,-1.925,-1.925
4.253,-1.75,-1.75
4.345,-1.852,-1.852
4.498,-2.005,-2.005
4.603,-1.883,-1.883
4.709,-1.845,-1.845
4.814,-1.893,-1.893
4.92,-1.825,-1.825
5.07,-1.701,-1.701
5.175,-1.983,-1.983
5.279,-1.874,-1.874
5.384,-1.954,-1.954
5.489,-1.806,-1.806
5.635,-1.97,-1.97
5.74,-1.674,-1.674
5.842,-1.502,-1.502
5.948,-1.889,-1.889
6.052,-1.723,-1.723
6.198,-1.595,-1.595
6.303,-1.907,-1.907
6.406,-1.868,-1.868
6.507,-1.718,-1.718
6.61,-1.873,-1.873
6.758,-1.698,-1.698
6.861,-1.774,-1.774
6.963,-1.622,-1.622
7.067,-1.783,-1.783
7.17,-1.837,-1.837
7.315,-1.684,-1.684
7.419,-1.72,-1.72
7.523,-1.725,-1.725
7.624,-1.739,-1.739
7.726,-1.79,-1.79
7.875,-1.681,-1.681
7.978,-1.796,-1.796
8.081,-1.656,-1.656
8.183,-1.82,-1.82
8.286,-1.764,-1.764
8.433,-1.677,-1.677
8.535,-1.85,-1.85
8.638,-1.809,-1.809
8.741,-1.813,-1.813
8.842,-1.611,-1.611
8.988,-1.651,-1.651
9.092,-1.718,-1.718
9.195,-1.648,-1.648
9.297,-1.693,-1.693
9.401,-1.649,-1.649
9.544,-1.6,-1.6
9.646,-1.112,-1.112
9.749,-1.917,-1.917
9.853,-1.817,-1.817
9.952,-1.783,-1.783
10.1,-1.745,-1.745
10.201,-1.704,-1.704
10.306,-1.772,-1.772
10.405,-1.645,-1.645
10.51,-1.74,-1.74
10.657,-1.904,-1.904
10.758,-1.689,-1.689
10.861,-1.646,-1.646
10.963,-1.778,-1.778
11.064,-1.753,-1.753
11.21,-1.612,-1.612
11.313,-1.71,-1.71
11.415,-1.697,-1.697
11.517,-1.643,-1.643
11.619,-1.509,-1.509
11.767,-1.712,-1.712
11.87,-1.707,-1.707
11.971,-1.717,-1.717
12.071,-1.48,-1.48
12.177,-1.609,-1.609
12.323,-1.629,-1.629
12.425,-1.658,-1.658
12.526,-1.539,-1.539
12.628,-1.538,-1.538
12.731,-1.613,-1.613
12.877,-1.792,-1.792
12.978,-1.574,-1.574
13.081,-1.707,-1.707
13.183,-1.693,-1.693
13.284,-1.711,-1.711
13.43,-1.699,-1.699
13.533,-1.536,-1.536
13.636,-1.644,-1.644
13.739,-1.724,-1.724
13.839,-1.475,-1.475
13.987,-1.615,-1.615
14.089,-1.683,-1.683
14.191,-1.569,-1.569
14.292,-1.589,-1.589
14.395,-1.54,-1.54
14.541,-1.556,-1.556
14.643,-1.651,-1.651
14.744,-1.566,-1.566
14.847,-1.582,-1.582
14.949,-1.62,-1.62
15.095,-1.557,-1.557
15.197,-1.592,-1.592
15.299,-1.357,-1.357
15.403,-1.555,-1.555
15.505,-1.502,-1.502
15.651,-1.586,-1.586
15.754,-1.494,-1.494
15.856,-1.578,-1.578
15.958,-1.449,-1.449
16.06,-1.464,-1.464
16.205,-1.524,-1.524
16.307,-1.497,-1.497
16.41,-1.551,-1.551
16.513,-1.377,-1.377
16.616,-1.518,-1.518
16.764,-1.432,-1.432
16.865,-1.423,-1.423
16.968,-1.405,-1.405
17.07,-1.504,-1.504
17.172,-1.491,-1.491
17.319,-1.533,-1.533
17.42,-1.399,-1.399
17.523,-1.367,-1.367
17.627,-1.435,-1.435
17.729,-1.548,-1.548
17.873,-1.443,-1.443
17.976,-1.429,-1.429
18.078,-1.463,-1.463
18.18,-1.409,-1.409
18.283,-1.531,-1.531
18.427,-1.293,-1.293
18.53,-1.382,-1.382
18.634,-1.551,-1.551
18.735,-1.444,-1.444
18.836,-1.5,-1.5
18.982,-1.399,-1.399
19.083,-1.517,-1.517
19.187,-1.416,-1.416
19.288,-1.41,-1.41
19.391,-1.537,-1.537
19.537,-1.391,-1.391
19.639,-1.264,-1.264
19.742,-1.304,-1.304
19.846,-1.313,-1.313
19.947,-1.275,-1.275
20.093,-1.422,-1.422
20.195,-1.291,-1.291
20.299,-1.398,-1.398
20.4,-1.349,-1.349
20.501,-1.241,-1.241
20.647,-1.268,-1.268
20.749,-1.353,-1.353
20.852,-1.284,-1.284
20.954,-1.441,-1.441
21.055,-1.389,-1.389
21.203,-1.323,-1.323
21.304,-1.306,-1.306
21.405,-1.319,-1.319
21.508,-1.272,-1.272
21.61,-1.326,-1.326
21.755,-1.204,-1.204
21.86,-1.242,-1.242
21.961,-1.259,-1.259
22.063,-1.234,-1.234
22.166,-1.125,-1.125
22.311,-1.363,-1.363
22.413,-1.229,-1.229
22.516,-1.272,-1.272
22.617,-1.285,-1.285
22.72,-1.3,-1.3
22.866,-1.346,-1.346
22.968,-1.248,-1.248
23.072,-1.226,-1.226
23.172,-1.198,-1.198
23.275,-1.089,-1.089
23.421,-1.161,-1.161
23.522,-1.085,-1.085
23.625,-1.18,-1.18
23.728,-1.059,-1.059
23.83,-1.216,-1.216
23.975,-1.255,-1.255
24.078,-1.096,-1.096
24.18,-1.157,-1.157
24.282,-1.155,-1.155
24.383,-1.118,-1.118
24.53,-1.673,-1.673
24.633,-1.812,-1.812
24.735,-1.911,-1.911
24.836,-1.508,-1.508
24.937,-2.381,-2.381
25.084,-2.2,-2.2
25.186,-2.156,-2.156
25.288,-2.235,-2.235
25.392,-2.32,-2.32
25.492,-2.366,-2.366
25.64,-2.344,-2.344
25.742,-2.298,-2.298
25.844,-2.286,-2.286
25.947,-2.353,-2.353
26.033,-2.266,-2.266
26.181,-2.365,-2.365
26.281,-2.301,-2.301
26.382,-2.396,-2.396
26.486,-2.386,-2.386
26.588,-2.403,-2.403
26.733,-2.386,-2.386
26.834,-2.289,-2.289
26.937,-2.221,-2.221
27.04,-2.238,-2.238
27.141,-2.229,-2.229
27.285,-2.185,-2.185
27.389,-2.193,-2.193
27.492,-2.264,-2.264
27.593,-2.227,-2.227
27.695,-2.27,-2.27
27.84,-2.206,-2.206
27.94,-2.149,-2.149
28.045,-2.189,-2.189
28.147,-2.136,-2.136
28.249,-2.106,-2.106
28.395,-1.877,-1.877
28.497,-2.143,-2.143
28.6,-2.15,-2.15
28.701,-2.115,-2.115
28.802,-1.943,-1.943
28.947,-1.965,-1.965
29.051,-1.942,-1.942
29.154,-1.865,-1.865
29.256,-1.865,-1.865
29.359,-1.852,-1.852
29.503,-1.718,-1.718
29.606,-1.761,-1.761
29.708,-1.657,-1.657
29.811,-1.708,-1.708
29.911,-1.602,-1.602
30.058,-1.556,-1.556
30.16,-1.456,-1.456
30.263,-1.374,-1.374
30.363,-1.22,-1.22
30.467,-1.091,-1.091
30.611,-0.99,-0.99
30.712,-0.815,-0.815
30.814,-0.708,-0.708
30.918,-0.391,-0.391
31.019,-0.287,-0.287
31.164,0.073,0.073
31.266,0.274,0.274
31.37,0.52,0.52
31.47,0.757,0.757
31.574,1.273,1.273
31.72,1.63,1.63
31.817,2.158,2.158
31.923,2.504,2.504
32.024,3.139,3.139
32.127,3.794,3.794
32.273,4.434,4.434
32.375,5.153,5.153
32.476,5.877,5.877
32.581,6.521,6.521
32.683,7.717,7.717
