current,voltage,Electric_field_strength
-0.027,-5.597,-5.597
-0.027,-5.565,-5.565
-0.027,-5.566,-5.566
-0.027,-5.603,-5.603
-0.027,-5.621,-5.621
-0.027,-5.581,-5.581
-0.027,-5.64,-5.64
-0.026,-5.605,-5.605
-0.026,-5.619,-5.619
-0.026,-5.594,-5.594
-0.027,-5.628,-5.628
-0.027,-5.614,-5.614
-0.026,-5.625,-5.625
-0.027,-5.609,-5.609
-0.027,-5.582,-5.582
-0.027,-5.608,-5.608
-0.026,-5.592,-5.592
-0.026,-5.601,-5.601
-0.026,-5.628,-5.628
-0.027,-5.621,-5.621
-0.026,-5.641,-5.641
-0.027,-5.607,-5.607
-0.027,-5.612,-5.612
-0.026,-5.591,-5.591
0.22,1.854,1.854
1.151,-3.293,-3.293
1.597,-3.001,-3.001
2.222,-2.869,-2.869
2.643,-2.643,-2.643
3.057,-2.512,-2.512
3.463,-2.491,-2.491
3.863,-2.902,-2.902
4.419,-2.604,-2.604
4.804,-2.897,-2.897
5.181,-2.853,-2.853
5.555,-2.994,-2.994
5.922,-2.922,-2.922
6.445,-2.822,-2.822
6.807,-2.872,-2.872
7.165,-2.984,-2.984
7.524,-2.759,-2.759
7.875,-2.989,-2.989
8.376,-2.968,-2.968
8.725,-2.995,-2.995
9.071,-2.964,-2.964
9.418,-2.923,-2.923
9.762,-2.926,-2.926
10.251,-2.993,-2.993
10.592,-2.913,-2.913
10.932,-3.02,-3.02
11.272,-3.05,-3.05
11.61,-2.949,-2.949
12.092,-2.89,-2.89
12.43,-2.765,-2.765
12.766,-2.926,-2.926
13.102,-2.892,-2.892
13.439,-3.009,-3.009
13.915,-2.989,-2.989
14.251,-2.878,-2.878
14.585,-2.981,-2.981
14.919,-2.836,-2.836
15.252,-2.862,-2.862
15.728,-2.81,-2.81
16.061,-2.8,-2.8
16.395,-2.852,-2.852
16.728,-2.781,-2.781
17.06,-2.822,-2.822
17.536,-2.831,-2.831
17.867,-2.824,-2.824
18.198,-2.78,-2.78
18.531,-2.829,-2.829
18.864,-2.68,-2.68
19.336,-2.679,-2.679
19.668,-2.708,-2.708
20.003,-2.813,-2.813
20.332,-2.683,-2.683
20.664,-2.703,-2.703
21.137,-2.438,-2.438
21.469,-2.788,-2.788
21.801,-2.724,-2.724
22.133,-2.616,-2.616
22.465,-2.679,-2.679
22.937,-2.575,-2.575
23.267,-2.598,-2.598
23.598,-2.485,-2.485
23.932,-2.582,-2.582
24.261,-2.468,-2.468
24.734,-2.474,-2.474
25.066,-2.406,-2.406
25.397,-2.548,-2.548
25.728,-2.484,-2.484
26.059,-2.416,-2.416
26.53,-2.497,-2.497
26.863,-2.693,-2.693
27.192,-2.53,-2.53
27.523,-2.503,-2.503
27.855,-2.391,-2.391
28.328,-2.51,-2.51
28.659,-2.351,-2.351
28.988,-1.947,-1.947
29.319,-2.553,-2.553
29.651,-2.285,-2.285
30.123,-2.309,-2.309
30.453,-2.741,-2.741
30.784,-2.2,-2.2
31.114,-2.605,-2.605
31.444,-2.374,-2.374
31.918,-2.791,-2.791
32.246,-2.926,-2.926
32.577,-3.331,-3.331
32.908,-3.819,-3.819
33.237,-4.088,-4.088
33.71,-4.158,-4.158
34.04,-3.963,-3.963
34.371,-4.225,-4.225
34.701,-4.132,-4.132
35.029,-4.278,-4.278
35.501,-4.209,-4.209
35.832,-4.311,-4.311
36.161,-4.282,-4.282
36.492,-4.216,-4.216
36.822,-4.13,-4.13
37.294,-4.082,-4.082
37.625,-4.255,-4.255
37.953,-4.092,-4.092
38.284,-4.096,-4.096
38.616,-4.232,-4.232
39.084,-4.348,-4.348
39.414,-4.297,-4.297
39.745,-4.108,-4.108
40.075,-4.278,-4.278
40.401,-4.248,-4.248
40.873,-4.298,-4.298
41.204,-4.198,-4.198
41.534,-4.309,-4.309
41.861,-4.289,-4.289
42.191,-4.3,-4.3
42.662,-4.297,-4.297
42.991,-4.253,-4.253
43.32,-4.121,-4.121
43.65,-4.354,-4.354
43.979,-4.304,-4.304
44.444,-4.243,-4.243
44.777,-4.259,-4.259
45.105,-4.346,-4.346
45.434,-4.234,-4.234
45.763,-4.297,-4.297
46.231,-4.262,-4.262
46.56,-4.288,-4.288
46.889,-4.329,-4.329
47.218,-4.312,-4.312
47.544,-4.311,-4.311
48.013,-4.281,-4.281
48.34,-4.275,-4.275
48.667,-4.269,-4.269
48.992,-4.279,-4.279
49.321,-4.352,-4.352
49.79,-4.25,-4.25
50.119,-4.274,-4.274
50.447,-4.272,-4.272
50.774,-4.284,-4.284
51.1,-4.376,-4.376
51.565,-4.386,-4.386
51.893,-4.295,-4.295
52.219,-4.274,-4.274
52.544,-4.404,-4.404
52.872,-3.475,-3.475
53.34,-5.748,-5.748
53.664,-4.784,-4.784
53.987,-4.196,-4.196
54.315,-4.422,-4.422
54.643,-4.464,-4.464
55.106,-4.524,-4.524
55.433,-4.476,-4.476
55.758,-4.237,-4.237
56.084,-4.435,-4.435
56.406,-4.268,-4.268
56.874,-4.339,-4.339
57.198,-4.154,-4.154
57.522,-4.261,-4.261
57.847,-4.338,-4.338
58.172,-4.357,-4.357
58.635,-4.583,-4.583
58.96,-4.908,-4.908
59.283,-5.138,-5.138
59.608,-5.075,-5.075
59.931,-5.174,-5.174
60.394,-5.139,-5.139
60.717,-5.197,-5.197
61.04,-5.201,-5.201
61.363,-5.188,-5.188
61.687,-5.275,-5.275
62.149,-5.212,-5.212
62.471,-5.238,-5.238
62.795,-5.175,-5.175
63.118,-5.19,-5.19
63.443,-5.271,-5.271
63.903,-5.359,-5.359
64.225,-5.201,-5.201
64.55,-5.247,-5.247
64.871,-5.18,-5.18
65.194,-5.184,-5.184
65.655,-5.133,-5.133
65.978,-5.14,-5.14
66.3,-5.175,-5.175
66.623,-5.182,-5.182
66.946,-5.216,-5.216
67.405,-5.326,-5.326
67.726,-5.233,-5.233
68.05,-5.253,-5.253
68.371,-5.342,-5.342
68.695,-5.166,-5.166
69.153,-5.0,-5.0
69.476,-5.242,-5.242
69.796,-5.281,-5.281
70.12,-5.172,-5.172
70.442,-5.143,-5.143
70.901,-5.079,-5.079
71.224,-5.103,-5.103
71.543,-5.104,-5.104
71.866,-5.062,-5.062
72.189,-5.012,-5.012
72.646,-5.161,-5.161
72.967,-5.145,-5.145
73.289,-4.989,-4.989
73.611,-5.241,-5.241
73.931,-4.852,-4.852
74.391,-5.146,-5.146
74.71,-5.151,-5.151
75.033,-5.065,-5.065
75.353,-5.047,-5.047
75.674,-5.086,-5.086
76.133,-5.048,-5.048
76.456,-5.099,-5.099
76.773,-4.505,-4.505
77.096,-5.065,-5.065
77.416,-5.074,-5.074
77.875,-5.025,-5.025
78.199,-4.762,-4.762
78.518,-5.066,-5.066
78.834,-4.901,-4.901
79.158,-5.085,-5.085
79.615,-5.152,-5.152
79.932,-5.03,-5.03
80.253,-5.296,-5.296
80.575,-4.849,-4.849
80.899,-5.004,-5.004
81.354,-4.862,-4.862
81.675,-4.904,-4.904
81.996,-4.952,-4.952
82.317,-4.521,-4.521
82.637,-4.921,-4.921
83.092,-4.803,-4.803
83.414,-4.96,-4.96
83.733,-4.197,-4.197
84.053,-4.466,-4.466
84.376,-4.844,-4.844
84.828,-4.986,-4.986
85.154,-4.928,-4.928
85.469,-4.957,-4.957
85.792,-4.877,-4.877
86.111,-4.856,-4.856
86.57,-4.785,-4.785
86.89,-4.877,-4.877
