Current	VoltageA (50mV/1000A)	uV-0.024	-1.112
-0.024	-1.088
-0.024	-1.105
-0.024	-1.091
-0.024	-1.094
-0.024	-1.100
-0.024	-1.114
-0.024	-1.081
-0.024	-1.080
-0.024	-1.096
-0.024	-1.091
-0.024	-1.097
-0.024	-1.089
0.288	3.993
2.206	0.729
2.987	0.626
3.754	0.495
4.510	0.314
5.252	0.259
6.307	0.391
7.035	0.318
7.753	0.316
8.469	0.406
9.174	0.629
10.172	0.501
10.860	0.625
11.549	0.364
12.232	0.402
12.915	0.386
13.882	0.467
14.555	0.362
15.227	0.454
15.895	0.222
16.563	0.292
17.514	0.259
18.176	0.316
18.841	0.331
19.504	0.328
20.170	0.158
21.119	0.277
21.784	0.137
22.444	0.190
23.104	0.301
23.764	0.183
24.708	0.205
25.412	0.167
26.117	-0.015
26.822	-0.013
27.525	-0.088
28.465	-0.052
29.125	-0.074
29.828	-0.084
30.583	-0.172
31.289	-0.087
32.229	-0.184
32.884	-0.107
33.542	-0.193
34.200	-0.203
34.859	-0.200
35.802	-0.169
36.459	-0.127
37.117	-0.248
37.769	-0.274
38.426	-0.216
39.368	-0.232
40.031	-0.201
40.746	-0.242
41.453	-0.265
42.110	-0.241
43.045	-0.260
43.744	-0.229
44.447	-0.311
45.098	-0.332
45.754	-0.299
46.686	-0.308
47.381	-0.311
48.127	-0.319
48.826	-0.232
49.479	-0.493
50.408	-0.266
51.059	-0.338
51.707	-0.281
52.358	-0.411
53.004	-0.379
53.922	-0.324
54.612	-0.357
55.305	-0.307
55.953	-0.353
56.600	-0.685
57.518	-0.296
58.163	-0.559
58.809	-0.444
59.453	-0.074
60.097	-0.531
61.014	-0.401
61.704	-0.481
62.396	-0.281
63.052	-0.464
63.732	-0.468
64.712	-0.234
65.406	-0.314
66.088	-0.363
66.781	-0.413
67.464	-0.263
68.438	-0.435
69.129	-0.339
69.860	-0.388
70.587	-0.356
71.266	-0.377
72.235	-0.302
72.910	-0.319
73.635	-0.226
74.362	-0.396
75.037	-0.411
76.001	-0.341
76.683	-0.534
77.390	-0.063
78.082	-0.414
78.731	-0.435
79.650	-0.318
80.292	-0.495
80.930	-0.307
81.616	-0.446
82.297	-0.301
83.205	-0.364
83.843	-0.338
84.476	-0.334
85.114	-0.263
85.753	-0.532
86.664	-0.447
87.308	-0.447
87.950	-0.458
88.596	0.277
89.236	-0.498
90.154	-0.282
90.797	-0.319
91.439	-0.351
92.084	-0.350
92.730	-0.375
93.652	-0.296
94.298	-0.327
94.993	-0.512
95.684	-0.381
96.334	-0.385
97.259	-0.372
97.910	-0.306
98.562	-0.190
99.218	0.090
99.864	-0.380
100.791	0.140
101.440	0.413
102.081	-0.399
102.775	-0.372
103.472	-0.283
104.391	0.322
105.086	0.054
105.782	-0.337
106.432	-0.238
107.089	-0.221
108.017	-0.078
108.664	-0.146
109.366	1.177
110.111	-0.122
110.841	0.225
111.816	0.013
112.497	0.567
113.227	0.126
113.968	0.362
114.656	1.456
115.650	0.248
116.334	0.230
117.032	0.507
117.730	0.424
118.433	0.429
119.417	0.570
120.101	1.853
120.787	0.678
121.465	0.847
122.149	0.803
123.144	0.690
123.852	1.195
124.566	1.051
125.288	1.105
126.006	0.994
127.041	1.118
127.764	1.448
128.459	1.422
129.114	1.540
129.775	1.764
130.711	1.444
131.362	1.615
132.015	1.729
132.668	1.663
133.317	1.899
134.248	2.090
134.900	2.502
135.556	2.443
136.207	2.685
136.856	2.774
137.781	2.890
138.429	3.108
139.078	3.333
139.727	3.531
140.378	3.804
141.304	4.003
141.949	4.248
142.595	4.440
143.249	5.072
143.892	5.557
144.818	5.675
145.467	6.001
146.114	6.352
146.756	6.757
147.311	8.098
148.226	8.767
148.876	9.807
149.525	10.830
150.171	12.371
150.816	13.391
151.762	14.616
