current,voltage,Electric_field_strength
-0.027,-3.358,-3.358
-0.027,-3.361,-3.361
-0.027,-3.366,-3.366
-0.027,-3.347,-3.347
-0.027,-3.366,-3.366
-0.028,-3.35,-3.35
-0.027,-3.323,-3.323
-0.027,-3.368,-3.368
-0.027,-3.348,-3.348
-0.028,-3.335,-3.335
-0.027,-3.388,-3.388
-0.027,-3.342,-3.342
-0.028,-3.333,-3.333
-0.028,-3.327,-3.327
-0.027,-3.372,-3.372
-0.028,-3.361,-3.361
-0.028,-3.342,-3.342
-0.028,-3.376,-3.376
-0.028,-3.349,-3.349
-0.027,-3.356,-3.356
-0.028,-3.35,-3.35
-0.028,-3.332,-3.332
-0.028,-3.345,-3.345
-0.027,-3.336,-3.336
-0.028,-3.348,-3.348
-0.027,-3.352,-3.352
0.09,-0.058,-0.058
0.515,-0.151,-0.151
0.707,-0.221,-0.221
0.893,0.073,0.073
1.142,-0.284,-0.284
1.308,-0.488,-0.488
1.467,-0.809,-0.809
1.62,-0.949,-0.949
1.771,-1.388,-1.388
1.976,-1.649,-1.649
2.112,-1.65,-1.65
2.247,-1.441,-1.441
2.38,-1.916,-1.916
2.507,-1.948,-1.948
2.685,-1.877,-1.877
2.807,-2.154,-2.154
2.931,-2.155,-2.155
3.049,-2.07,-2.07
3.166,-2.335,-2.335
3.332,-2.061,-2.061
3.445,-2.098,-2.098
3.558,-2.404,-2.404
3.669,-2.493,-2.493
3.782,-2.354,-2.354
3.94,-2.358,-2.358
4.048,-2.385,-2.385
4.158,-2.366,-2.366
4.265,-2.302,-2.302
4.372,-2.477,-2.477
4.526,-2.391,-2.391
4.631,-2.416,-2.416
4.735,-2.499,-2.499
4.841,-2.542,-2.542
4.946,-2.631,-2.631
5.097,-2.444,-2.444
5.201,-2.508,-2.508
5.305,-2.504,-2.504
5.409,-2.451,-2.451
5.513,-2.601,-2.601
5.66,-2.689,-2.689
5.765,-2.691,-2.691
5.869,-2.711,-2.711
5.972,-2.708,-2.708
6.075,-2.669,-2.669
6.224,-2.579,-2.579
6.325,-2.734,-2.734
6.43,-2.657,-2.657
6.533,-3.273,-3.273
6.635,-2.759,-2.759
6.781,-2.799,-2.799
6.884,-2.748,-2.748
6.985,-2.738,-2.738
7.088,-2.849,-2.849
7.192,-2.455,-2.455
7.346,-2.851,-2.851
7.454,-2.793,-2.793
7.559,-2.796,-2.796
7.661,-2.829,-2.829
7.764,-2.65,-2.65
7.91,-2.827,-2.827
8.012,-2.787,-2.787
8.114,-2.783,-2.783
8.216,-2.909,-2.909
8.32,-2.937,-2.937
8.465,-2.932,-2.932
8.568,-2.872,-2.872
8.67,-2.918,-2.918
8.773,-2.924,-2.924
8.876,-2.925,-2.925
9.022,-2.863,-2.863
9.124,-2.954,-2.954
9.225,-2.828,-2.828
9.33,-2.931,-2.931
9.431,-2.927,-2.927
9.577,-2.827,-2.827
9.68,-2.955,-2.955
9.782,-3.012,-3.012
9.883,-2.918,-2.918
9.986,-2.993,-2.993
10.133,-2.895,-2.895
10.234,-2.929,-2.929
10.337,-2.956,-2.956
10.44,-2.863,-2.863
10.543,-2.948,-2.948
10.687,-2.971,-2.971
10.79,-3.097,-3.097
10.891,-2.904,-2.904
10.992,-2.933,-2.933
11.097,-2.955,-2.955
11.244,-2.79,-2.79
11.344,-2.911,-2.911
11.447,-2.786,-2.786
11.55,-2.963,-2.963
11.651,-2.945,-2.945
11.798,-2.958,-2.958
11.899,-2.923,-2.923
12.001,-2.917,-2.917
12.105,-2.886,-2.886
12.206,-2.928,-2.928
12.353,-3.045,-3.045
12.456,-3.056,-3.056
12.557,-3.09,-3.09
12.658,-2.965,-2.965
12.76,-3.074,-3.074
12.905,-3.026,-3.026
13.009,-3.056,-3.056
13.111,-3.089,-3.089
13.213,-2.976,-2.976
13.316,-3.09,-3.09
13.46,-3.132,-3.132
13.565,-3.066,-3.066
13.666,-3.082,-3.082
13.769,-3.144,-3.144
13.87,-2.954,-2.954
14.024,-3.128,-3.128
14.135,-3.158,-3.158
14.237,-3.144,-3.144
14.338,-3.126,-3.126
14.44,-3.02,-3.02
14.587,-3.208,-3.208
14.686,-3.134,-3.134
14.79,-3.237,-3.237
14.892,-2.374,-2.374
14.994,-3.199,-3.199
15.14,-3.172,-3.172
15.243,-3.221,-3.221
15.345,-3.212,-3.212
15.446,-3.247,-3.247
15.549,-3.274,-3.274
15.696,-3.282,-3.282
15.798,-3.055,-3.055
15.899,-3.15,-3.15
16.002,-3.215,-3.215
16.104,-3.273,-3.273
16.25,-3.181,-3.181
16.351,-2.907,-2.907
