current,voltage,Electric_field_strength
-0.026,-3.065,-3.065
-0.026,-3.085,-3.085
-0.026,-3.067,-3.067
-0.027,-3.093,-3.093
-0.026,-3.084,-3.084
-0.026,-3.074,-3.074
-0.026,-3.06,-3.06
-0.026,-3.065,-3.065
-0.026,-3.063,-3.063
-0.027,-3.081,-3.081
-0.026,-3.079,-3.079
-0.026,-3.079,-3.079
-0.026,-3.061,-3.061
-0.026,-3.048,-3.048
-0.026,-3.085,-3.085
-0.026,-3.083,-3.083
-0.027,-3.067,-3.067
-0.026,-3.082,-3.082
-0.026,-3.068,-3.068
-0.026,-0.995,-0.995
0.373,3.526,3.526
1.216,2.043,2.043
1.663,1.501,1.501
2.102,0.984,0.984
2.706,0.344,0.344
3.118,-0.134,-0.134
3.522,-0.345,-0.345
3.921,-0.416,-0.416
4.311,-0.485,-0.485
4.86,-0.569,-0.569
5.237,-0.781,-0.781
5.609,-1.133,-1.133
5.977,-1.278,-1.278
6.344,-1.276,-1.276
6.862,-1.29,-1.29
7.221,-1.529,-1.529
7.575,-1.643,-1.643
7.928,-1.784,-1.784
8.279,-1.836,-1.836
8.778,-1.94,-1.94
9.126,-2.017,-2.017
9.47,-1.975,-1.975
9.812,-2.049,-2.049
10.156,-2.095,-2.095
10.644,-2.095,-2.095
10.985,-2.151,-2.151
11.323,-2.066,-2.066
11.66,-2.192,-2.192
11.999,-2.281,-2.281
12.481,-2.34,-2.34
12.817,-2.338,-2.338
13.152,-2.412,-2.412
13.487,-2.311,-2.311
13.822,-2.448,-2.448
14.3,-2.549,-2.549
14.635,-2.474,-2.474
14.968,-2.506,-2.506
15.302,-2.503,-2.503
15.637,-2.416,-2.416
16.112,-2.61,-2.61
16.443,-2.683,-2.683
16.777,-2.786,-2.786
17.109,-2.757,-2.757
17.44,-2.635,-2.635
17.918,-2.739,-2.739
18.25,-2.88,-2.88
18.581,-2.811,-2.811
18.914,-2.782,-2.782
19.244,-2.92,-2.92
19.718,-2.804,-2.804
20.051,-2.787,-2.787
20.335,-2.947,-2.947
20.666,-2.806,-2.806
20.997,-2.986,-2.986
21.47,-2.825,-2.825
21.803,-2.878,-2.878
22.134,-2.835,-2.835
22.464,-2.826,-2.826
22.795,-2.826,-2.826
23.27,-2.779,-2.779
23.603,-2.719,-2.719
23.934,-2.773,-2.773
24.263,-2.822,-2.822
