current,voltage,Electric_field_strength
-0.027,0.851,0.851
-0.027,0.869,0.869
-0.027,0.872,0.872
-0.027,0.861,0.861
-0.027,0.85,0.85
-0.027,0.878,0.878
-0.027,0.848,0.848
-0.027,0.839,0.839
-0.027,0.824,0.824
-0.027,0.847,0.847
-0.027,0.862,0.862
-0.027,0.887,0.887
-0.027,0.832,0.832
-0.027,13.45,13.45
0.912,5.895,5.895
1.41,6.546,6.546
2.044,6.505,6.505
2.469,6.511,6.511
2.884,6.214,6.214
3.298,5.796,5.796
3.7,5.498,5.498
4.259,5.738,5.738
4.645,5.508,5.508
5.029,5.773,5.773
5.404,5.728,5.728
5.769,6.052,6.052
6.295,5.903,5.903
6.66,5.447,5.447
7.019,4.299,4.299
7.374,3.699,3.699
7.731,3.399,3.399
8.234,3.385,3.385
8.582,3.273,3.273
8.93,3.053,3.053
9.276,3.057,3.057
9.619,3.023,3.023
10.11,2.997,2.997
10.453,2.89,2.89
10.794,2.916,2.916
11.133,2.981,2.981
11.471,2.937,2.937
11.953,2.773,2.773
12.289,2.685,2.685
12.628,2.9,2.9
12.962,2.709,2.709
13.299,2.797,2.797
13.803,2.744,2.744
14.16,2.86,2.86
14.493,2.869,2.869
14.828,2.818,2.818
15.162,2.878,2.878
15.64,2.709,2.709
15.972,2.746,2.746
16.302,2.75,2.75
16.638,2.711,2.711
16.971,2.643,2.643
17.445,2.751,2.751
17.777,2.852,2.852
18.109,2.874,2.874
18.443,2.636,2.636
18.775,2.76,2.76
19.248,2.884,2.884
19.579,2.546,2.546
19.912,2.742,2.742
20.243,2.868,2.868
20.574,2.672,2.672
21.048,2.74,2.74
21.379,2.718,2.718
21.71,2.665,2.665
22.044,2.879,2.879
22.373,2.707,2.707
22.847,2.783,2.783
23.179,2.844,2.844
23.509,2.755,2.755
23.84,2.661,2.661
24.171,3.086,3.086
24.646,2.404,2.404
24.977,2.663,2.663
25.304,2.789,2.789
25.637,2.866,2.866
25.967,2.642,2.642
26.439,2.527,2.527
26.774,2.76,2.76
27.104,2.919,2.919
27.434,2.918,2.918
27.765,3.103,3.103
28.237,2.91,2.91
28.567,2.904,2.904
28.899,2.714,2.714
29.229,3.083,3.083
29.561,2.916,2.916
30.033,2.598,2.598
30.363,2.751,2.751
30.693,3.142,3.142
31.024,3.001,3.001
31.355,3.045,3.045
31.826,3.213,3.213
32.156,2.984,2.984
32.49,2.893,2.893
32.818,3.089,3.089
33.151,3.286,3.286
33.622,3.395,3.395
33.951,3.024,3.024
34.284,3.261,3.261
34.611,3.252,3.252
34.941,3.331,3.331
35.413,3.414,3.414
35.741,3.251,3.251
36.073,3.478,3.478
36.404,3.54,3.54
36.735,3.663,3.663
37.204,3.539,3.539
37.533,3.315,3.315
37.864,3.47,3.47
38.196,3.886,3.886
38.524,3.479,3.479
38.997,3.498,3.498
39.326,3.651,3.651
39.655,3.282,3.282
39.986,3.784,3.784
40.313,3.929,3.929
40.784,3.886,3.886
41.115,3.981,3.981
41.442,3.983,3.983
41.775,4.114,4.114
42.101,3.687,3.687
42.573,4.461,4.461
42.904,4.056,4.056
43.231,3.876,3.876
43.561,4.348,4.348
43.89,4.273,4.273
44.361,4.576,4.576
44.689,4.577,4.577
45.014,4.746,4.746
45.345,5.645,5.645
45.675,6.45,6.45
46.141,7.268,7.268
46.471,8.544,8.544
46.803,10.363,10.363
47.126,12.035,12.035
47.455,14.381,14.381
47.927,17.326,17.326
48.253,23.793,23.793
48.581,29.101,29.101
48.906,35.641,35.641
49.233,43.88,43.88
