current,voltage,Electric_field_strength
-0.028,0.838,0.838
-0.028,0.819,0.819
-0.028,0.801,0.801
-0.028,0.836,0.836
-0.028,0.807,0.807
-0.028,0.835,0.835
-0.028,0.831,0.831
-0.028,0.829,0.829
-0.028,0.824,0.824
-0.028,0.82,0.82
-0.028,0.825,0.825
-0.028,0.839,0.839
-0.028,0.813,0.813
-0.028,0.83,0.83
-0.028,0.854,0.854
-0.028,0.859,0.859
-0.028,0.864,0.864
-0.028,0.822,0.822
-0.028,0.851,0.851
-0.028,0.845,0.845
-0.028,0.862,0.862
-0.028,0.848,0.848
-0.028,0.814,0.814
-0.028,0.839,0.839
-0.028,8.415,8.415
0.386,4.366,4.366
0.631,3.671,3.671
0.82,3.608,3.608
1.0,3.556,3.556
1.172,3.363,3.363
1.404,3.308,3.308
1.559,3.09,3.09
1.711,3.157,3.157
1.855,3.107,3.107
1.997,3.134,3.134
2.191,3.025,3.025
2.325,2.882,2.882
2.456,2.725,2.725
2.584,2.893,2.893
2.706,2.827,2.827
2.881,2.791,2.791
3.001,2.774,2.774
3.12,2.672,2.672
3.236,2.775,2.775
3.35,2.58,2.58
3.513,2.572,2.572
3.624,2.51,2.51
3.736,2.541,2.541
3.849,2.58,2.58
3.958,2.703,2.703
4.112,2.588,2.588
4.221,2.602,2.602
4.329,2.664,2.664
4.435,2.578,2.578
4.542,2.643,2.643
4.693,2.569,2.569
4.798,2.706,2.706
4.903,2.601,2.601
5.009,2.674,2.674
5.112,2.987,2.987
5.26,2.759,2.759
5.365,2.873,2.873
5.469,2.519,2.519
5.578,2.618,2.618
5.69,2.756,2.756
5.841,2.235,2.235
5.942,2.357,2.357
6.046,2.102,2.102
6.157,2.128,2.128
6.268,1.878,1.878
6.414,1.887,1.887
6.518,1.859,1.859
6.618,1.769,1.769
6.723,1.839,1.839
6.823,1.774,1.774
6.969,1.888,1.888
7.073,1.773,1.773
7.176,1.803,1.803
7.28,1.726,1.726
7.383,1.754,1.754
7.528,1.713,1.713
7.733,1.659,1.659
7.836,1.654,1.654
7.938,1.695,1.695
8.086,1.576,1.576
8.187,1.661,1.661
8.289,1.724,1.724
8.393,1.691,1.691
8.494,1.643,1.643
8.64,1.634,1.634
8.741,1.798,1.798
8.844,1.664,1.664
8.947,1.601,1.601
9.048,1.627,1.627
9.195,1.549,1.549
9.3,1.589,1.589
9.4,1.678,1.678
9.502,1.678,1.678
9.604,1.535,1.535
9.75,1.529,1.529
9.851,1.645,1.645
9.954,1.642,1.642
10.057,1.571,1.571
10.159,1.577,1.577
10.302,1.548,1.548
10.406,1.61,1.61
10.511,1.739,1.739
10.612,1.57,1.57
10.714,1.543,1.543
10.858,1.58,1.58
10.962,1.643,1.643
11.064,1.575,1.575
11.166,1.692,1.692
11.269,1.597,1.597
11.415,1.49,1.49
11.516,1.57,1.57
11.619,1.562,1.562
11.72,1.647,1.647
11.823,1.602,1.602
11.969,1.556,1.556
12.072,1.816,1.816
12.174,1.551,1.551
12.275,1.647,1.647
12.377,1.612,1.612
12.524,1.53,1.53
12.625,1.562,1.562
12.725,1.647,1.647
12.828,1.551,1.551
12.932,1.588,1.588
13.084,1.682,1.682
13.202,1.634,1.634
13.31,1.61,1.61
13.414,1.493,1.493
13.514,1.624,1.624
13.66,1.701,1.701
13.77,1.609,1.609
13.88,1.643,1.643
13.982,1.643,1.643
14.085,1.585,1.585
14.23,1.668,1.668
14.332,1.767,1.767
14.436,1.645,1.645
14.536,1.589,1.589
14.638,1.555,1.555
14.783,1.631,1.631
14.888,1.781,1.781
14.99,1.521,1.521
15.089,1.71,1.71
15.194,1.666,1.666
15.34,1.643,1.643
15.44,1.679,1.679
15.544,1.708,1.708
15.645,1.653,1.653
15.746,1.658,1.658
15.892,1.696,1.696
15.996,1.613,1.613
16.098,1.632,1.632
16.2,1.83,1.83
16.303,1.624,1.624
16.448,1.639,1.639
16.549,1.73,1.73
16.651,1.623,1.623
16.751,1.689,1.689
16.856,1.76,1.76
17.009,1.766,1.766
17.119,1.757,1.757
17.221,1.703,1.703
17.323,1.773,1.773
17.425,1.763,1.763
17.571,1.748,1.748
17.673,1.8,1.8
17.775,1.668,1.668
17.877,1.691,1.691
17.978,1.977,1.977
18.125,1.753,1.753
18.227,1.723,1.723
18.329,1.802,1.802
18.432,1.876,1.876
18.534,1.677,1.677
18.678,1.772,1.772
18.781,1.852,1.852
18.881,1.838,1.838
18.983,1.81,1.81
19.086,1.809,1.809
19.232,1.81,1.81
19.333,1.88,1.88
19.436,1.762,1.762
19.54,1.832,1.832
19.641,1.93,1.93
19.788,1.905,1.905
19.889,1.939,1.939
19.992,1.847,1.847
20.093,1.874,1.874
20.196,1.965,1.965
20.341,1.868,1.868
20.445,1.933,1.933
20.544,1.942,1.942
20.648,1.857,1.857
20.747,1.911,1.911
20.895,1.959,1.959
20.998,1.913,1.913
21.099,1.956,1.956
21.201,2.049,2.049
21.303,1.947,1.947
21.449,2.233,2.233
21.559,2.064,2.064
21.669,1.988,1.988
21.77,1.973,1.973
21.872,2.033,2.033
22.017,2.142,2.142
22.126,2.009,2.009
22.236,2.128,2.128
22.339,2.033,2.033
22.44,2.134,2.134
22.587,2.089,2.089
