current,voltage,Electric_field_strength
-0.027,1.048,1.048
-0.027,1.038,1.038
-0.027,1.159,1.159
-0.028,1.18,1.18
-0.027,1.104,1.104
-0.027,1.112,1.112
-0.027,1.096,1.096
-0.027,1.068,1.068
-0.027,1.113,1.113
-0.028,1.112,1.112
-0.027,1.18,1.18
-0.027,1.223,1.223
-0.028,1.13,1.13
-0.027,1.179,1.179
-0.027,1.207,1.207
-0.028,1.088,1.088
-0.027,1.055,1.055
-0.027,1.001,1.001
-0.027,1.065,1.065
-0.027,1.052,1.052
-0.027,1.021,1.021
-0.027,1.025,1.025
-0.027,1.062,1.062
-0.028,1.063,1.063
-0.027,1.106,1.106
-0.027,1.099,1.099
-0.027,1.109,1.109
-0.027,1.115,1.115
-0.028,1.097,1.097
-0.027,1.078,1.078
-0.027,1.083,1.083
-0.027,1.054,1.054
-0.022,5.344,5.344
0.514,3.877,3.877
0.702,3.642,3.642
0.888,3.647,3.647
1.065,3.648,3.648
1.233,3.458,3.458
1.462,3.414,3.414
1.616,3.434,3.434
1.764,3.235,3.235
1.906,3.149,3.149
2.048,3.224,3.224
2.242,3.136,3.136
2.373,3.037,3.037
2.503,3.022,3.022
2.629,3.031,3.031
2.751,3.032,3.032
2.925,3.002,3.002
3.044,3.006,3.006
3.163,2.856,2.856
3.28,2.871,2.871
3.393,3.015,3.015
3.555,3.212,3.212
3.668,2.851,2.851
3.776,2.989,2.989
3.886,2.909,2.909
3.996,2.933,2.933
4.151,2.866,2.866
4.26,2.904,2.904
4.365,2.643,2.643
4.474,2.702,2.702
4.58,2.623,2.623
4.729,2.704,2.704
4.836,2.611,2.611
4.941,2.945,2.945
5.047,3.446,3.446
5.152,2.759,2.759
5.302,2.75,2.75
5.406,3.02,3.02
5.509,2.644,2.644
5.612,2.528,2.528
5.715,2.508,2.508
5.863,2.625,2.625
5.965,2.723,2.723
6.071,2.625,2.625
6.171,2.737,2.737
6.275,2.739,2.739
6.423,2.294,2.294
6.523,2.703,2.703
6.627,2.067,2.067
6.731,2.052,2.052
6.833,2.247,2.247
6.979,2.143,2.143
7.083,1.98,1.98
7.186,1.971,1.971
7.288,1.947,1.947
7.391,1.92,1.92
7.537,2.186,2.186
7.639,1.997,1.997
7.74,1.959,1.959
7.846,1.936,1.936
7.946,1.953,1.953
8.092,2.153,2.153
8.194,1.879,1.879
8.298,2.126,2.126
8.405,1.787,1.787
8.506,2.039,2.039
8.649,1.846,1.846
8.75,1.696,1.696
8.852,1.699,1.699
8.956,1.742,1.742
9.06,1.729,1.729
9.202,1.872,1.872
9.306,1.822,1.822
9.407,1.866,1.866
9.511,1.918,1.918
9.613,1.934,1.934
9.758,2.395,2.395
9.859,1.83,1.83
9.961,1.838,1.838
10.064,1.867,1.867
10.165,1.923,1.923
10.313,1.921,1.921
10.413,2.347,2.347
10.515,1.808,1.808
10.618,1.957,1.957
